mrd,Rz,Treatment,dafs
-0.9716087015205812,3,Sync1,2
-1.7816292956708937,3,Sync1,4
-4.05758185403876,3,Sync1,7
-5.359589621216658,3,Sync1,9
-6.756953479720162,3,Sync1,11
-7.91809440122458,3,Sync1,14
-9.322813416688208,3,Sync1,16
-9.901687563412326,3,Sync1,18
-11.132854028400466,3,Sync1,21
-11.409155648323107,3,Sync1,23
-11.89850230792723,3,Sync1,25
-11.83261840129136,3,Sync1,28
-12.90628715491406,3,Sync1,30
-12.39861838007162,3,Sync1,32
-12.937981188778137,3,Sync1,35
-13.773247368801185,3,Sync1,37
-13.887547852907648,3,Sync1,39
-14.264054606181872,3,Sync1,42
-14.818775342908497,3,Sync1,44
-1.6151897255641456,8,L-first,2
-2.476222846311017,8,L-first,4
-4.313837416257689,8,L-first,7
-5.268550885738971,8,L-first,9
-6.114192004150446,8,L-first,11
-6.9534828564656,8,L-first,14
-8.186651121326701,8,L-first,16
-8.42865160897227,8,L-first,18
-9.363910893810612,8,L-first,21
-10.327168267576832,8,L-first,23
-10.97501903514546,8,L-first,25
-10.71801910744987,8,L-first,28
-12.208570962942067,8,L-first,30
-11.60989976601561,8,L-first,32
-12.099233599328231,8,L-first,35
-11.99570173383974,8,L-first,37
-11.629368634034863,8,L-first,39
-11.4211532924333,8,L-first,42
-12.157439392839631,8,L-first,44
0,9,Sync2,1
-2.3298878180758185,9,Sync2,4
-4.23710044911688,9,Sync2,6
-4.914782515963778,9,Sync2,8
-6.2694704257451805,9,Sync2,11
-6.579756791934596,9,Sync2,13
-7.34357156145599,9,Sync2,15
-7.430934876196214,9,Sync2,18
-8.912567473554587,9,Sync2,20
-7.991446601644864,9,Sync2,22
-8.735298882860757,9,Sync2,25
-9.22257793564021,9,Sync2,27
-9.665765474991856,9,Sync2,29
-9.236795096344322,9,Sync2,32
-10.156696104024142,9,Sync2,34
-1.0490100825337896,13,Sync1,2
-2.4370474917090688,13,Sync1,4
-4.377513568283793,13,Sync1,7
-5.210632917823332,13,Sync1,9
-5.871154961001746,13,Sync1,11
-6.262026735504029,13,Sync1,14
-7.492402003325089,13,Sync1,16
-7.291722788245378,13,Sync1,18
-7.648139383671461,13,Sync1,21
-8.443445114280983,13,Sync1,23
-9.09073991573423,13,Sync1,25
-8.909720997828233,13,Sync1,28
-10.260292157128625,13,Sync1,30
-9.355400542866557,13,Sync1,32
-10.355748287233691,13,Sync1,35
-11.067064998967298,13,Sync1,37
-11.257971420973073,13,Sync1,39
-12.220360156919748,13,Sync1,42
-13.230318791750683,13,Sync1,44
0,14,F-first,2
-1.10945952225136,14,F-first,4
-2.494335448619128,14,F-first,7
-3.603962003156952,14,F-first,9
-5.329644966103251,14,F-first,11
-5.853276420711606,14,F-first,14
-7.025960073482998,14,F-first,16
-7.959701230483923,14,F-first,18
-9.16484620600939,14,F-first,21
-9.155036597394824,14,F-first,23
-9.945372439022774,14,F-first,25
-10.434045019226287,14,F-first,28
-11.152152701144216,14,F-first,30
-11.06975781421057,14,F-first,32
-11.320429078798933,14,F-first,35
-11.943039648133473,14,F-first,37
-12.350415040232214,14,F-first,39
-12.057458876167503,14,F-first,42
-12.568010960397558,14,F-first,44
-1.5350478889815729,16,Sync1,2
-2.833628249429442,16,Sync1,4
-4.808557160380474,16,Sync1,7
-5.687041773321217,16,Sync1,9
-6.621015008666197,16,Sync1,11
-7.780083249673144,16,Sync1,14
-8.979254470022495,16,Sync1,16
-9.445867533565208,16,Sync1,18
-10.974358226955268,16,Sync1,21
-10.98562703209358,16,Sync1,23
-11.4998934552246,16,Sync1,25
-11.754043887630392,16,Sync1,28
-13.097237438153702,16,Sync1,30
-12.456812797063789,16,Sync1,32
-13.023498060725313,16,Sync1,35
-13.45472983097549,16,Sync1,37
-14.084749497378242,16,Sync1,39
-14.960846543613842,16,Sync1,42
-15.657531311355363,16,Sync1,44
0,18,G-first,2
0,18,G-first,4
-2.1586112090679888,18,G-first,7
-2.1663114389855154,18,G-first,9
-4.352279697751491,18,G-first,11
-3.8651808345867344,18,G-first,14
-5.326538437658846,18,G-first,16
-5.72847371718197,18,G-first,18
-4.943208278797107,18,G-first,21
-5.705112251724782,18,G-first,23
-6.3377556150553644,18,G-first,25
-6.274854369286871,18,G-first,28
-7.647083919493594,18,G-first,30
-7.045311991384646,18,G-first,32
-7.842702125663489,18,G-first,35
-8.668131988540216,18,G-first,37
-8.976712492138482,18,G-first,39
-9.54019464468947,18,G-first,42
-10.333059048121054,18,G-first,44
0,19,F-first,2
-1.0460973298543896,19,F-first,4
-3.138996988417833,19,F-first,7
-4.590526289465887,19,F-first,9
-5.825146651265115,19,F-first,11
-5.694457077962591,19,F-first,14
-7.374662047746024,19,F-first,16
-7.564222031717288,19,F-first,18
-8.680898954324862,19,F-first,21
-9.006149804537968,19,F-first,23
-10.021114428794858,19,F-first,25
-10.045530069154692,19,F-first,28
-11.473161000864886,19,F-first,30
-11.172798332611816,19,F-first,32
-11.601411442356746,19,F-first,35
-12.142536759381262,19,F-first,37
-12.369687827148333,19,F-first,39
-12.76882438381704,19,F-first,42
-13.365846513862056,19,F-first,44
-1.140195860978665,22,Sync1,2
-1.9476062435492305,22,Sync1,4
-3.618837772889858,22,Sync1,7
-4.4705095094192275,22,Sync1,9
-5.240109638632875,22,Sync1,11
-5.772702144171424,22,Sync1,14
-6.808110965074577,22,Sync1,16
