farm_type,farm_size,CMB,pH,SOM,clay,coffee_prod_past,coffee_prod,P_soil,K_soil,SB,litter_thickness,pesticide,mowing,Pmin,Kmin,manure,tree_cover,tree_density,total_species,shannon_PIM,CWM.SLA,CWM.N,municipality,n_practices,n_ext_projects,policy_access,altitude
large,67,373.4966667,6.4,2.606666667,0.523,1750,1800,10.66666667,236,1.923333333,0.086956522,2381,25.6,41.25,165,0,0,0,11,1.2,115.6195638,2.766666667,Araponga,9,2,none,800
large,220,385.7366667,5.29,5.386666667,0.632333333,2000,1900,4.566666667,513.3333333,6.863333333,3.342222222,3456,30,0,0,0,0,0,8,1.913740601,207.9640122,1.829166667,Araponga,14,0,none,843
eco,2.5,417.03,6.005,5.356666667,0.587833333,1600,1911.904762,4.75,110.3333333,6.6,5.193478261,0,47.61904762,0,0,10000,233.9142318,200.6666667,14,2.002605867,207.66,3.66,Araponga,21,2,low,812
eco,9,393.59,3.89,5.313333333,0.511,1540,1920,1.9,24.33333333,5.28,3.737362637,0,110,0,0,0,226.2732109,255.5555556,24,2.32469453,195.14,2.38,Araponga,24,1,moderate,890
large,255,340.6933333,4.863333333,5.293333333,0.641,1900,1950,3.066666667,94.33333333,4.313333333,3.266666667,1800,32,0,0,0,0,0,15,2.070727426,207.9,1.2,Araponga,13,0,moderate,910
large,361,362.5433333,5.333333333,6.92,0.493666667,2200,2000,2.066666667,63.33333333,4.51,4.815217391,2381,31,0,0,0,0,0,17,1.62117029,200.13,1.88,Araponga,6,1,moderate,950
eco,2.5,417.5333333,6.026666667,6.436666667,0.580333333,1730,2011.904762,3.133333333,136.3333333,7.123333333,6.193478261,0,47.61904762,0,0,10000,233.9142318,196.6666667,14,2.002605867,207.66,3.66,Araponga,20,2,moderate,1000
eco,9,580.0466667,6.57,6.21,0.512666667,1850,2069.893,342.7,383,7.01,8.642222222,0,166.6666667,0,0,8500,333.3641747,300,20,2.022735357,195.55,2.6,Araponga,20,4,moderate,1050
large,67,361.725,6.541666667,2.911666667,0.551,2000,2100,16.11666667,179.5,8.646666667,1.086956522,3381,25.6,41.25,165,0,0,0,9,2,115.6195638,2.766666667,Araponga,11,1,high,940
eco,7.5,392.6766667,5.15,5.293333333,0.426,2220,2125,76.03333333,194.6666667,7.866666667,5.486666667,0,66.66666667,27,108,5500,312.6125219,200,22,1.88477104,148.93,2.85,Araponga,24,2,high,1030
con,13,321.1066667,6.668333334,3.276666667,0.444166667,2000,2282.123077,20.7,151.6666667,4.426666667,1.586956522,1128,9.509721048,44,220.8,0,0,0,10,1.526845493,234.52,3.94,Araponga,19,0,high,1100
large,67,321.9533333,4.216666667,3.543333333,0.488,2150,2300,1.566666667,48.66666667,6.92,0.151648352,4100,53.33333333,0,0,0,0,0,10,1.449824468,142.26,1.71,Araponga,12,0,low,1150
con,25,381.2483333,5.061666667,4.335,0.663666667,1700,2307.692308,5.066666667,37.5,6.096666667,1.869565217,3370,20.51282051,0,63.8,0,0,0,4,0.279616343,124.18,2.52,Araponga,12,0,none,950
eco,12,468.0166667,4.966666667,8.101666667,0.525333334,1910,2399.553571,21.83333334,140.5,10.59666667,5.755319149,0,53.33333333,0,0,4464,179.933227,344.4444444,19,2.425849818,158.84,2.93,Araponga,23,4,low,1200
con,4.5,261.58,5.426666667,3.806666667,0.715333333,2100,2916.66,12.03333333,142.3333333,4.856666667,0.662222222,3729.8,18.51851852,90,360,5100,0,0,5,0.535041423,167.57,2.97,Araponga,16,1,moderate,1225
con,4.5,236.3633334,5.926666667,4.5,0.685833333,2200,2916.66,15.46666667,120.6666667,3.874666667,1.662222222,3729.8,18.51851852,90,360,6945,0,0,5,0.535041423,167.57,2.97,Araponga,14,0,low,1250
large,255,371.7316667,5.415,4.093333334,0.656833334,2490,3000,26.66666667,202.3333334,8.19,2.026086957,3456,40,131.25,525,15000,0,0,5,0.678876328,172.03,3.13,Araponga,10,1,high,1300
