plotcode,country,plotsize_m2,biomass_vascular_plants_g/m2,NP_vascular_plants,harvest_year,resNPbio,nosp,aveMean_root_diameter_D,aveRoot_nitrogen_concentration_RN,aveRoot_tissue_density_RTD,aveSpecific_root_length_SRL,aveN-fixing,aveAM,aveNM,aveEcM,aveErM,aveNM_AM,aveOM,aveMycorrhizal_association_capacity_MA,aveRoot_mycorrhizal_colonization_intensity_%M,aveCluster_roots,resMean_root_diameter_D,resRoot_nitrogen_concentration_RN,resRoot_tissue_density_RTD,resSpecific_root_length_SRL,resN-fixing,resAM,resNM,resEcM,resErM,resNM_AM,resOM,resMycorrhizal_association_capacity_MA,resRoot_mycorrhizal_colonization_intensity_%M,resCluster_roots
1-OL10,1,4,364.5,11.01,2020,0.07026763,27,-1.599945324,2.291830996,-1.924588839,4.974460741,0.208333333,0.583333333,0.041666667,0,0,0.375,0,0.583333333,#N/A,0.047619048,0.014191138,0.09863817,-0.031064236,-0.095298461,2.789760228,0.507481348,-0.311073906,-0.077910681,-0.189099509,-0.209015004,-0.852639456,0.344409126,#N/A,0.63714245
2-OL09,1,8,460.5,5.24,2020,-0.626334616,32,-1.677975901,2.328577,-2.010016268,5.155210038,0.096774194,0.612903226,0.032258065,0,0,0.322580645,0.032258065,0.64516129,57.38314706,0,-0.055906913,0.120976666,-0.108544451,0.066800313,1.075296674,0.797422051,-0.586455756,-0.085051183,-0.184463211,-0.766601017,0.737136569,1.001860663,11.0943017,-1.021528438
3-OL03,1,6,648.75,6.17,2020,-0.395696138,27,-1.59824792,2.429578661,-1.945924891,5.029116779,0.153846154,0.653846154,0.038461538,0,0,0.307692308,0,0.653846154,51.09467831,0,0.035450283,0.200856683,-0.032802328,-0.08663492,1.883512293,1.007333037,-0.340971559,-0.073424782,-0.135029014,-0.758747515,-0.816480205,0.887351193,4.515011024,-0.890733748
4-OL02,1,4,541.75,6.2,2020,-0.426218057,22,-1.666353419,2.31367673,-2.028796465,5.004516608,0.136363636,0.590909091,0.045454545,0,0,0.363636364,0,0.590909091,52.14343673,0,-0.038770975,0.096062543,-0.121800985,-0.096856052,1.514886479,0.396463547,-0.174024009,-0.069671182,-0.139738671,-0.198155905,-0.770890283,0.27122243,5.716711573,-0.831594135
AJ2020_01,1,4,397.75,18.88,2020,0.626698766,33,#N/A,#N/A,#N/A,#N/A,0.0625,0.59375,0,0,0,0.40625,0,0.59375,#N/A,0.083333333,#N/A,#N/A,#N/A,#N/A,0.362060489,0.662194346,-1.905524669,-0.088620627,-0.206244743,0.150700407,-0.972200846,0.482253337,#N/A,1.538869021
AJ2020_02,1,4,195,18.21,2020,0.450675853,23,-1.665985799,#N/A,#N/A,#N/A,0,0.555555556,0,0,0,0.388888889,0.055555556,0.611111111,43.61609992,0,-0.07307389,#N/A,#N/A,#N/A,-1.237746706,0.433449968,-1.478317826,-0.075150011,-0.246444896,-0.221133268,0.964202185,0.723559209,-1.943588911,-0.929986035
AJ2020_03,1,4,234.25,16.96,2020,0.415552473,30,#N/A,#N/A,#N/A,#N/A,0.037037037,0.37037037,0.037037037,0,0,0.555555556,0.037037037,0.407407407,#N/A,0.157894737,#N/A,#N/A,#N/A,#N/A,-0.16275535,-1.484551048,-0.495669551,-0.089177175,-0.267754114,1.532513623,0.694644861,-1.306596289,#N/A,2.396236335
AJ2020_04,1,4,273.75,8.45,2020,-0.25055803,25,#N/A,#N/A,#N/A,#N/A,0.08,0.36,0.08,0,0,0.52,0.04,0.4,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.773296385,-1.601736299,0.467049212,-0.083537802,-0.232706357,1.166302654,0.789652493,-1.386964645,#N/A,-1.06281375
AJ2020_05,1,4,394.25,12.39,2020,0.20375077,48,#N/A,#N/A,#N/A,#N/A,0.104166667,0.645833333,0.0625,0,0,0.25,0.041666667,0.6875,52.68390754,0.051282051,#N/A,#N/A,#N/A,#N/A,1.582945428,1.551357649,0.217096498,-0.108703052,-0.254060478,-2.098131242,1.270785609,1.929988096,6.526862957,1.021447891
AJ2020_06,1,4,70.5,10.03,2020,-0.345375058,16,#N/A,#N/A,#N/A,#N/A,0,0.3125,0.0625,0,0,0.625,0,0.3125,#N/A,0,#N/A,#N/A,#N/A,#N/A,-1.015535357,-1.204329048,-0.035311314,-0.084424997,-0.451329945,1.442278262,-0.882272511,-1.4429217,#N/A,-0.916820811
AJ2020_07,1,4,256,8.78,2020,-0.225404137,19,#N/A,#N/A,#N/A,#N/A,0,0.315789474,0.105263158,0,0,0.578947368,0,0.315789474,#N/A,0,#N/A,#N/A,#N/A,#N/A,-1.273494172,-1.766615538,0.807719298,-0.073672526,-0.211952145,1.514023913,-0.798365914,-1.936471309,#N/A,-0.779812397
AJ2020_08,1,1.5,431.75,5.76,2020,-0.544370021,21,#N/A,#N/A,#N/A,#N/A,0.047619048,0.380952381,0.095238095,0,0,0.523809524,0,0.380952381,#N/A,0,#N/A,#N/A,#N/A,#N/A,-0.029521969,-1.45464326,0.742441615,-0.070783579,-0.158356795,1.232145607,-0.778290855,-1.594865814,#N/A,-0.790572956
AJ2020_09,1,4,376.75,4.72,2020,-0.770240472,12,#N/A,#N/A,#N/A,#N/A,0.083333333,0.5,0.166666667,0,0,0.333333333,0,0.5,#N/A,0,#N/A,#N/A,#N/A,#N/A,0.526809826,-0.230555765,1.377484269,-0.054778333,-0.130856014,-0.440363984,-0.600034177,-0.34449611,#N/A,-0.614519447
AJ2020_10,1,4,476.25,7.19,2020,-0.303365093,14,#N/A,#N/A,#N/A,#N/A,0,0.428571429,0.214285714,0,0,0.357142857,0,0.428571429,#N/A,0,#N/A,#N/A,#N/A,#N/A,-1.19830177,-0.860708133,2.040636265,-0.056826031,-0.121268266,-0.237403222,-0.626523667,-0.969309815,#N/A,-0.654867445
AJ2020_11,1,4,245.5,9.86,2020,-0.11761336,17,#N/A,#N/A,#N/A,#N/A,0,0.4,0,0,0,0.6,0,0.4,#N/A,0,#N/A,#N/A,#N/A,#N/A,-1.157456528,-0.889901142,-1.334853841,-0.065933761,-0.193548689,1.499216781,-0.713668843,-1.044534379,#N/A,-0.786509214
