plotcode,country,plotsize_m2,biomass_vascular_plants_g.m-2,NP_vascular_plants,harvest_year,resNPbio,nosp,aveMean_root_diameter_D,aveRoot_nitrogen_concentration_RN,aveRoot_tissue_density_RTD,aveSpecific_root_length_SRL,aveN-fixing,aveAM,aveNM,aveEcM,aveErM,aveNM_AM,aveOM,aveMycorrhizal_association_capacity_MA,aveRoot_mycorrhizal_colonization_intensity_%M,aveCluster_roots,resMean_root_diameter_D,resRoot_nitrogen_concentration_RN,resRoot_tissue_density_RTD,resSpecific_root_length_SRL,resN-fixing,resAM,resNM,resEcM,resErM,resNM_AM,resOM,resMycorrhizal_association_capacity_MA,resRoot_mycorrhizal_colonization_intensity_%M,resCluster_roots
AJ2020_32,1,4,1127.7500000000,18.8500000000,2020.0000000000,0.8296300682,5.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.6666666667,0.0000000000,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.6666666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6067167547,0.3063589233,-0.5552268950,-0.0226749172,-0.0319544086,-0.1069937565,-0.2560138723,0.2813175242,#N/A,#N/A
AJ2020_33,1,4,704.2500000000,13.9400000000,2020.0000000000,0.4354766768,5.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AJ2020_34,1,4,1995.7500000000,18.7500000000,2020.0000000000,0.9363286389,6.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Biebrza_OD10,3,#N/A,1015.8000000000,7.0100000000,2016.0000000000,-0.1800625339,1.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Biebrza_OD8,3,#N/A,517.2400000000,8.4900000000,2016.0000000000,-0.1209641937,2.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DH_C5,1,16,155.0400000000,5.1600000000,2017.0000000000,-0.8553614570,2.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DH_O3,1,16,494.5000000000,8.1900000000,2017.0000000000,-0.1657625948,5.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6430341696,2.2034377391,-0.6667705875,-0.0301786456,-0.0632468939,-1.9779814282,-0.3330751335,2.1566605710,#N/A,#N/A
DH_O4,1,16,1037.0000000000,11.5300000000,2017.0000000000,0.3216056999,3.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.6014599839,1.8167817197,-0.5574497224,-0.0230050220,-0.0337557388,-1.6514303871,-0.2591426397,1.7941714870,#N/A,#N/A
DH_O5,1,16,2.2500000000,13.3900000000,2017.0000000000,-0.7324611925,1.0000000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DH_O6,1,16,264.7500000000,12.9500000000,2017.0000000000,0.1698108682,3.0000000000,#N/A,#N/A,#N/A,#N/A,0.0000000000,0.6666666667,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6666666667,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.5217315698,0.5216225972,1.4618181832,-0.0291054838,-0.0823919807,-1.7658795903,-0.3157027421,0.4553679402,#N/A,#N/A
