plotcode,country,species richness,species richness threatened,Beals species pool (all species),Beals species pool (threatened species),Species pool ratio,N_vascular_plants,P_vascular_plants,K_vascular_plants,NP_vascular_plants,NK_vascular_plants,KP_vascular_plants
bl_B1,Belarus,8,4,60,26,0.43,11.52,0.97,14.66,11.83,0.79,15.07
bl_B10,Belarus,8,0,68,7,0.1,16.52,1.86,10.2,8.9,1.62,5.49
bl_B2,Belarus,11,4,63,25,0.4,15.18,2.04,18.46,7.44,0.82,9.06
bl_B3,Belarus,10,4,61,26,0.43,10.1,1.16,12.97,8.71,0.78,11.19
bl_B4,Belarus,10,3,64,13,0.2,23.46,2.18,18.56,10.77,1.26,8.52
bl_B5,Belarus,16,8,67,26,0.39,13.82,2.03,20.86,6.81,0.66,10.29
bl_B6,Belarus,15,7,62,24,0.39,12.68,2.29,8.87,5.54,1.43,3.87
bl_B7,Belarus,5,4,23,17,0.74,11.47,0.59,5.89,19.5,1.95,10.02
bl_B8,Belarus,21,4,61,6,0.1,13.71,2.31,8.8,5.94,1.56,3.81
bl_B9,Belarus,5,1,59,14,0.24,14.99,1.43,9.41,10.52,1.59,6.6
nt_ZW01,Belgium,10,7,29,19,0.66,18.6,0.53,5.94,35.09,3.13,11.21
nt_ZW04,Belgium,23,2,71,7,0.1,14.88,2.45,10.39,6.07,1.43,4.24
nt_ZW05,Belgium,24,2,65,9,0.14,15.89,2.4,6.54,6.62,2.43,2.73
nt_ZW06,Belgium,26,1,66,6,0.09,17.05,2.36,6.61,7.22,2.58,2.8
nt_ZW07,Belgium,31,4,65,10,0.15,15.27,2.16,11.13,7.07,1.37,5.15
nt_ZW08,Belgium,21,4,64,13,0.2,17,2.37,14.29,7.17,1.19,6.03
nt_ZW09,Belgium,25,3,65,13,0.2,18.15,2.49,18.36,7.29,0.99,7.37
nt_ZW10,Belgium,32,1,70,8,0.11,14.72,2.42,18.7,6.08,0.79,7.73
nt_ZW11,Belgium,27,2,69,13,0.19,14.24,2.36,12.94,6.03,1.1,5.48
nt_ZW12,Belgium,20,2,67,12,0.18,16.92,2.1,12.55,8.06,1.35,5.98
nt_ZW13,Belgium,22,1,70,9,0.13,14.83,1.89,13.73,7.85,1.08,7.26
nt_ZW14,Belgium,26,2,68,13,0.19,18.47,2.02,9.83,9.14,1.88,4.87
nt_ZW15,Belgium,22,2,67,10,0.15,15.23,2.14,8.44,7.12,1.8,3.94
nt_ZW16,Belgium,21,1,64,5,0.08,13.78,2.29,5.61,6.02,2.46,2.45
nt_ZW17,Belgium,20,2,65,3,0.05,12.73,1.77,6.34,7.19,2.01,3.58
nt_ZW18,Belgium,20,3,66,4,0.06,19.73,2.29,10.71,8.62,1.84,4.68
nt_ZW19,Belgium,19,2,70,4,0.06,19.47,2.63,14.35,7.4,1.36,5.46
nt_ZW20,Belgium,29,2,68,12,0.18,14.9,2.17,15.74,6.87,0.95,7.25
nt_ZW21,Belgium,22,2,67,11,0.16,12.72,1,8.11,12.72,1.57,8.11
nt_ZW22,Belgium,16,1,75,6,0.08,15.45,2.67,17.13,5.79,0.9,6.42
hb_V1,Germany,52,20,85,33,0.39,16.34,0.9,20.47,18.21,0.8,22.81
hb_V10,Germany,66,26,98,42,0.43,18.7,0.88,8.45,21.2,2.21,9.58
hb_V11,Germany,55,19,92,38,0.41,20.99,0.79,8.22,26.71,2.55,10.47
hb_V12,Germany,51,18,89,35,0.39,18.83,0.76,8.94,24.67,2.11,11.71
hb_V13,Germany,51,16,93,38,0.41,17.76,0.68,10.68,26.09,1.66,15.69
hb_V14,Germany,58,18,90,35,0.39,15.7,0.66,11.33,23.62,1.39,17.05
hb_V15,Germany,47,16,74,28,0.38,17.04,0.97,16.79,17.63,1.01,17.38
hb_V16,Germany,31,16,68,31,0.46,12.71,0.79,12.99,16.1,0.98,16.46
hb_V17,Germany,50,20,92,40,0.43,14.14,0.58,7.64,24.5,1.85,13.24
hb_V18,Germany,54,21,95,37,0.39,18.34,0.83,17.47,22.23,1.05,21.17
hb_V19,Germany,29,9,74,24,0.32,17.2,0.9,15.62,19.21,1.1,17.45
hb_V2,Germany,49,13,81,21,0.26,17.42,0.94,16.44,18.53,1.06,17.49
hb_V20,Germany,29,11,76,35,0.46,13.61,1.08,9.93,12.57,1.37,9.17
hb_V21,Germany,44,11,77,28,0.36,17.33,0.66,10.01,26.39,1.73,15.24
hb_V22,Germany,40,14,79,30,0.38,16.11,0.79,7.54,20.3,2.14,9.51
hb_V23,Germany,42,13,83,35,0.42,17.92,0.72,10.15,24.86,1.76,14.09
hb_V24,Germany,57,23,92,38,0.41,16.86,0.8,10.35,21.02,1.63,12.91
hb_V25,Germany,49,14,84,31,0.37,16.42,0.95,15.86,17.2,1.04,16.62
hb_V26,Germany,56,18,84,32,0.38,17.36,0.98,15.08,17.77,1.15,15.44
hb_V27,Germany,58,25,90,35,0.39,17.04,0.94,11.78,18.21,1.45,12.59
hb_V28,Germany,45,25,89,40,0.45,16.21,0.83,11.89,19.56,1.36,14.34
hb_V29,Germany,37,13,80,31,0.39,15.32,0.71,13.32,21.43,1.15,18.64
hb_V3,Germany,43,17,80,30,0.38,16.94,0.87,16.56,19.45,1.02,19.02
hb_V30,Germany,29,10,76,29,0.38,15.4,0.76,12.66,20.31,1.22,16.69
hb_V31,Germany,23,7,73,28,0.38,18.74,0.81,10.42,23.08,1.8,12.83
hb_V32,Germany,31,11,78,28,0.36,15.49,0.77,9.86,20.16,1.57,12.83
hb_V33,Germany,46,12,83,28,0.34,18.08,0.75,13.31,24.05,1.36,17.71
hb_V34,Germany,38,7,84,30,0.36,18.13,0.83,14.07,21.8,1.29,16.92
hb_V35,Germany,46,18,89,37,0.42,15.29,0.51,6.89,29.83,2.22,13.45
hb_V36,Germany,41,20,77,31,0.4,17.98,0.74,8.21,24.38,2.19,11.12
hb_V37,Germany,45,19,88,36,0.41,19.43,0.78,9.44,24.95,2.06,12.12
hb_V38,Germany,31,10,90,36,0.4,16.05,0.75,7.19,21.38,2.23,9.58
hb_V39,Germany,38,11,77,30,0.39,18.99,0.83,17.28,22.9,1.1,20.84
hb_V4,Germany,50,21,89,36,0.4,15.79,0.87,14.84,18.07,1.06,16.98
hb_V40,Germany,44,14,72,30,0.42,16.73,0.72,14.17,23.13,1.18,19.59
hb_V41,Germany,45,13,80,24,0.3,13.45,0.85,13.14,15.77,1.02,15.41
hb_V42,Germany,36,10,88,37,0.42,15.55,0.45,7.97,34.66,1.95,17.77
hb_V43,Germany,52,16,84,30,0.36,15.71,0.65,9,24.32,1.74,13.94
hb_V44,Germany,54,21,91,40,0.44,16.88,0.58,11.4,29.01,1.48,19.6
hb_V45,Germany,52,30,83,38,0.46,14.86,0.8,8.88,18.62,1.67,11.12
hb_V46,Germany,30,10,75,29,0.39,18.79,0.7,8.82,26.98,2.13,12.67
hb_V47,Germany,28,16,81,36,0.44,15.49,0.58,9.7,26.8,1.6,16.78
hb_V5,Germany,44,21,82,36,0.44,17.48,0.77,11.25,22.58,1.55,14.53
hb_V6,Germany,57,26,93,39,0.42,16.76,0.56,14.34,29.72,1.17,25.43
hb_V7,Germany,51,25,87,40,0.46,15.91,0.77,11.7,20.55,1.36,15.11
hb_V8,Germany,43,19,74,33,0.45,18.22,0.87,10.39,20.92,1.75,11.93
hb_V9,Germany,44,18,81,31,0.38,17.87,0.91,12.81,19.72,1.39,14.14
hr_B1,Germany,24,9,61,18,0.3,10.32,0.87,12.94,11.81,0.8,14.81
hr_B2,Germany,27,10,69,18,0.26,11.38,0.88,10.92,13.01,1.04,12.47
hr_B3,Germany,30,8,67,17,0.25,12.31,0.94,15.37,13.08,0.8,16.34
hr_B4,Germany,18,4,65,15,0.23,10.65,0.6,13.6,17.75,0.78,22.67
hr_K2,Germany,29,2,80,9,0.11,14.51,1.51,18.37,9.62,0.79,12.18
hr_L10,Germany,14,1,59,7,0.12,11.47,1.51,17.46,7.58,0.66,11.53
hr_L3,Germany,13,2,49,4,0.08,18.64,2.36,19.05,7.9,0.98,8.07
hr_L4,Germany,15,2,60,6,0.1,16.03,1.99,19.42,8.07,0.83,9.77
hr_L9,Germany,15,1,59,7,0.12,11.26,1.7,18.48,6.64,0.61,10.89
hr_M1,Germany,13,0,77,13,0.17,17.28,2.43,24.3,7.13,0.71,10.02
hr_M2,Germany,14,1,78,12,0.15,15.06,2.35,21.41,6.41,0.7,9.11
hr_M3,Germany,11,1,68,11,0.16,18.32,2.44,22.05,7.5,0.83,9.03
hr_M4,Germany,24,2,82,7,0.09,15.79,2.13,17.7,7.42,0.89,8.31
hr_M5,Germany,14,2,65,8,0.12,14.86,2.6,30.57,5.71,0.49,11.76
hr_M6,Germany,13,1,75,11,0.15,15.12,2.85,26.22,5.31,0.58,9.2
hr_R1,Germany,33,8,83,16,0.19,12.46,1.17,15.95,10.69,0.78,13.68
hr_R2,Germany,20,4,78,14,0.18,10.66,2.01,21.93,5.31,0.49,10.91
hr_R3,Germany,14,3,69,15,0.22,11.56,2.23,20.4,5.2,0.57,9.17
hr_R4,Germany,20,3,65,10,0.15,13.46,2.06,22.16,6.53,0.61,10.75
hr_R5,Germany,16,2,79,10,0.13,15.4,1.9,21.51,8.09,0.72,11.3
hr_S1,Germany,21,1,64,5,0.08,18.08,3.19,30.74,5.66,0.59,9.63
hr_S2,Germany,16,2,59,5,0.08,21.04,3.58,34.33,5.88,0.61,9.6
hr_S3,Germany,21,6,78,11,0.14,18.32,2.53,24.5,7.25,0.75,9.69
hr_T1,Germany,55,12,89,14,0.16,11.74,1.33,20.8,8.85,0.56,15.68
hr_T2,Germany,38,10,83,14,0.17,10.44,1.21,21.54,8.66,0.48,17.86
hr_W1,Germany,23,3,70,14,0.2,10.39,0.7,13.32,14.85,0.78,19.03
hr_W10,Germany,20,2,80,10,0.13,12.74,2.43,16.81,5.24,0.76,6.92
hr_W11,Germany,23,6,70,22,0.31,12.75,0.8,16.59,15.94,0.77,20.74
