species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Achillea millefolium,99,No,17.17,0.72,71.66,0.18,0.49,0.5,12.74,1.99,14.74,6.53,0.83,7.93
Achillea ptarmica,327,No,15.42,0.55,43.26,0.18,0.41,0.43,14.9,1.69,9.83,8.93,1.47,6.31
Acorus calamus,74,No,11.48,0.28,73.13,0.1,0.32,0.46,13.66,1.24,12.96,11.01,1,10.28
Agrostis canina,611,No,14.39,0.65,49.45,0.27,0.36,0.5,14.35,1.32,10.76,11,1.29,8.81
Agrostis capillaris,304,No,15.79,0.73,42.48,0.29,0.4,0.48,15.53,1.6,10.44,9.36,1.47,7.36
Agrostis gigantea,179,No,9.68,0.4,61.44,0.24,0.25,0.47,13.15,1.17,12.59,11.32,1.04,10.11
Agrostis stolonifera,516,No,14.39,0.67,51.01,0.21,0.35,0.47,14.39,1.45,11.24,10.14,1.21,8.53
Ajuga reptans,122,No,16.39,0.65,64.76,0.16,0.42,0.47,12.75,1.95,14.61,6.85,0.82,8.42
Alisma plantago-aquatica,65,No,10.42,0.34,46.67,0.12,0.22,0.32,13.25,1.33,12.82,10.12,1.01,10.11
Allium angulosum,14,Yes,5.62,0.59,21.24,0.2,0.04,0.1,11.94,0.91,15.98,12.34,0.79,13.64
Allium carinatum,47,Yes,2.72,0.02,10.46,0.04,0.08,0.06,16.88,0.79,11.33,21.43,1.45,15.24
Allium suaveolens,16,Yes,2.98,0.02,13.55,0.07,0.08,0.07,16.55,0.78,11.48,21.57,1.37,16.08
Alopecurus geniculatus,73,No,17.52,0.8,57.9,0.09,0.32,0.2,16,2.44,19.1,6.71,0.85,7.55
Alopecurus pratensis,228,No,19.47,0.65,61.51,0.15,0.5,0.45,14.74,2.02,12.58,7.19,1.09,6.89
Angelica sylvestris,247,No,13.41,0.57,23.65,0.22,0.28,0.45,15.77,1.4,10,11.56,1.57,7.59
Anthericum ramosum,34,No,2.53,0.02,9.64,0.04,0.07,0.06,16.81,0.77,10.55,22.99,1.56,15.47
Anthoxanthum odoratum,355,No,17.2,0.66,44.82,0.22,0.42,0.41,15.2,1.77,10.42,8.89,1.46,6.69
Aquilegia atrata,12,No,2.62,0.02,8.62,0.03,0.06,0.05,16.24,0.72,9.22,24.19,1.8,14.82
Armeria maritima,10,Yes,19.64,0.14,80.21,0.08,0.86,0.82,15.95,2.05,17.81,7.69,0.96,7.74
Arrhenatherum elatius,114,Yes,18.53,0.72,74.58,0.12,0.48,0.41,13.38,2.07,16.63,6.29,0.79,7.95
Asperula tinctoria,23,Yes,2.87,0.01,7.94,0.02,0.07,0.05,16.86,0.76,10.01,23.62,1.74,13.94
Astrantia major,12,No,3.42,0.01,14.04,0.03,0.13,0.1,16.95,0.83,11.84,21.11,1.41,13.63
Bartsia alpina,10,No,1.32,0.03,6.63,0.08,0.04,0.08,16.06,0.79,10.8,20.79,1.46,14.82
Bellis perennis,96,No,22.52,0.82,61.24,0.11,0.31,0.25,14.28,2.28,16.34,6.36,0.89,7.39
Bolboschoenus maritimus,39,No,8.69,0.6,30.74,0.12,0.12,0.12,15.83,1.99,16.77,7.77,1,7.76
Brachypodium rupestre,47,No,2.72,0.02,10.46,0.04,0.08,0.06,16.88,0.79,11.33,21.43,1.45,15.24
Briza media,149,Yes,13.07,0.39,31.1,0.35,0.39,0.53,14.46,0.96,10.92,15.07,1.39,10.87
Bromopsis erecta,45,No,3.17,0.02,10.4,0.05,0.09,0.06,16.86,0.78,11.33,21.8,1.45,15.11
Bromus hordeaceus,54,No,21.53,0.73,64.1,0.08,0.35,0.22,15.77,2.6,21.44,5.96,0.82,7.47
Buphthalmum salicifolium,37,No,2.44,0.02,11.26,0.03,0.08,0.06,16.76,0.77,10.68,22.9,1.55,15.24
Calamagrostis canescens,292,No,12.6,0.38,47.96,0.16,0.37,0.5,14.37,1.33,9.9,11.12,1.38,8.21
Calamagrostis epigejos,81,No,11.91,0.72,48.71,0.23,0.34,0.22,12.74,1.57,15.99,8.66,0.78,9.39
Calamagrostis purpurea,11,No,3.2,0.02,27.97,0.03,0.05,0.02,17,1.17,28.79,13.87,0.59,23.8
Calamagrostis stricta,162,Yes,6.56,0.25,60.36,0.18,0.18,0.33,13.34,0.93,11.28,14.36,1.13,12.7
Calla palustris,48,Yes,9.85,0.32,74.94,0.14,0.16,0.42,14.32,1.24,17.61,11.38,0.85,15.12
